plot,par_plot,par_ambient,soil_moisture,probe_length,date,community
12,,,11.9,15,21-Nov,
13,,,6.9,15,21-Nov,
13,,,13,15,21-Nov,
13,,,10.5,15,21-Nov,
13,,,7.3,15,21-Nov,
13,,,9.5,15,21-Nov,
14,,,8,15,21-Nov,
14,,,12.6,15,21-Nov,
14,,,9.2,15,21-Nov,
14,,,11.2,15,21-Nov,
14,,,11.1,15,21-Nov,
15,,,11.3,15,21-Nov,
15,,,13.9,15,21-Nov,
15,,,8.8,15,21-Nov,
15,,,11.1,15,21-Nov,
15,,,10.3,15,21-Nov,
2405,,,12.4,15,21-Nov,
2405,,,11.5,15,21-Nov,
2405,,,13.1,15,21-Nov,
2405,,,8.5,15,21-Nov,
2405,,,12.2,15,21-Nov,
2459,,,7.7,15,21-Nov,
2459,,,8.2,15,21-Nov,
2459,,,7.4,15,21-Nov,
2459,,,5.3,15,21-Nov,
2459,,,5,15,21-Nov,
